NAME,ADDRESS,POSTAL CODE,LATITUDE,LONGITUDE
Rimessa Atac San Paolo,Via Alessandro Severo 70,00145,41.8555382,12.48137518
Ex Stazione Trastevere,P.Za Ippolito Nievo,00153,41.88088054,12.46694269
Ufficio Geologico,Largo di Santa Susanna,00187,41.90480574,12.49379819
Ex edificio scolastico I.T. Hertz,Via Grottaferrata 76,00100,41.86367174,12.53889765
Ex edificio scolastico I.C La Giustiniana,Via Maurizio Giglio 3,00135,41.9854528,12.4077306
Ex edificio scolastico Leonori,Via Funi 81,00100,41.7743789,12.34929098
Edificio dismesso Verne,Via di Saponara 150,00100,41.7799382,12.35963352
Edificio demolito Montebruno,Via Montebruno,00168,41.93073281,12.42036024
Ex edificio scolastico Vertunni,Via Venturini,00155,41.90976977,12.61293628
Ex edificio scolastico Villari,Via Fabiani 45,00158,41.92148264,12.55034911
Ex edificio scolastico Ripetta,Via di Ripetta 218,00186,41.90712659,12.47574594
Scuola Parini,Piazza Capri 25,00141,41.94369586,12.52866885
Ex impianto Acea Oletta,Via Oletta 33,00122,41.72858824,12.29036591
